Index,Street,Postal Code,No of spaces,Location,
1,Annesley Park,D6,1,,
2,Burlington Road,D4,2,Mespil Road,
4,"Brian Boru St, Clontarf",D3,1,,
6,Ballyfermot Rd,D10,2,shopping centre,
8,Barrow St,D4,1,,
9,Chancery St,D7,2,River House,
12,Clontarf Park,D3,1,,
13,Clontarf Park,D3,1,,
15,Charleville Road,D6,1,,
16,Cathedral Lane,D8,1,,
17,Clonmel St/Place,D2,4,North Side,
18,Cathal Brugha St,D1,1,North Side,
19,Coleraine St,D7,1,,
20,Cathedral St,D1,2,North Side,
21,Clanwilliam Tce,D2,1,,
22,Castle St,D2,1,E.H.B.,
23,de Valera Place,D7,1,,
24,de Valera Place,D7,1,,
25,de Valera Place,D7,1,,
26,Drury St,D2,2,East Side,
27,Eccles St,D7,2,Xray Dept,
28,Eccles Place,D7,1,Dorset St,
29,"Ely Place, off Baggot Street",D2,1,,
30,Earlsford Terrace,D2,1,,
31,Fishamble St,D8,3,Civic Offices,
32,Fitzwilliam St Lwr,D4,2,ESB,
33,Farrard Road,D6W,1,,
34,Fade St,D2,1,,
35,Granby Row,D2,2,,
36,Grand Canal Quay,D2,1,Telecom,
37,Grand Canal St,D2,2,Old Hospital,
38,Grand Canal Quay,D2,1,,
39,Grove Park,D6,1,,
40,Grove Park,D6,1,,
41,"Hill St, D1",D1,2,,
42,"Hill St, D1",D1,2,,
43,Hogan Place,D2,1,,
44,Herbert St,D2,2,,
45,Holles St,D2,1,Holbrook House,
46,Haddington Road,D4,1,,
47,Haddington Road,D4,1,,
48,Hatch St Lwr,D2,1,,
49,Hollybank Road,D9,1,,
50,Iona Crescent,D9,1,,
51,Iona Road,D9,1,,
52,Jervis St,D1,2,Mary St,
53,Jervis St  (Poss 3 spaces),D1,2,FÁS,
54,King St South,D2,1,South Side,
55,Killester Ave,D5,1,,
56,Killester Court,D5,1,,
57,Linenhall Parade,D7,1,,
58,Leo St,D7,2,,
59,Merrion Square South,D2,2,No 70,
