No,Location,Code,No Spaces,Exact Location,Installed,Tarriff,Nearest PandDs Same zone,Hours of Operation,Clr-Way,Clearway Hrs,Comment,Further Information,Finished,Comment 1,Zone,Located,geometry,geometry 1,geometry 2,Longitude,Latitude
3,Hatch Street Upper,2,58 P n D (Total),Near College of Music,,€ 2.90,6 On Hatch St Upr,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,Yellow,Y,"<Point><coordinates>-6.261752,53.333963</coordinates></Point>","-6.261752,53.333963</coordinates></Point>","-6.261752,53.333963",-6.261752,53.333963
5,Hatch Street Upper,2,58 P n D (Total),Iveagh Gardens,,€ 2.90,6 On Hatch St Upr,Mon-Sat 07.00-19.00,FALSE,,,Northside West of Earlsfort Tce,TRUE,,Yellow,Y,"<Point><coordinates>-6.260484,53.334019</coordinates></Point>","-6.260484,53.334019</coordinates></Point>","-6.260484,53.334019",-6.260484,53.334019
6,Hatch Street Upper,2,58 P n D (Total),UCD,,€ 2.90,6 On Hatch St Upr,Mon-Sat 07.00-19.00,FALSE,,,Northside West of Earlsfort Tce,TRUE,,Yellow,Y,"<Point><coordinates>-6.259689,53.333968</coordinates></Point>","-6.259689,53.333968</coordinates></Point>","-6.259689,53.333968",-6.259689,53.333968
7,Lindsay Road,9,35 P n D / DP,Off Botanic Road,,€ 1.60,Iona Road 158,Mon-Sat 07.00-24.00,FALSE,,,,FALSE,,Green,Y,"<Point><coordinates>-6.271275,53.365855</coordinates></Point>","-6.271275,53.365855</coordinates></Point>","-6.271275,53.365855",-6.271275,53.365855
15,Ailesbury Road,4,169 P n D / DP (Total),At St. Anne's,,€ 1.60,Ailesbury Grove 795,Mon-Fri 07.00-19.00,FALSE,,,,TRUE,,Green,Y,"<Point><coordinates>-6.230097,53.319505</coordinates></Point>","-6.230097,53.319505</coordinates></Point>","-6.230097,53.319505",-6.230097,53.319505
20,St. Mary's Terrace (Arbour Hill),7,4 P n D + 4 DP,At Arbour Place,,€ 1.60,None Nearby,Mon-Sat 07.00-24.00,FALSE,,,,FALSE,,Green,Y,"<Point><coordinates>-6.283247,53.350557</coordinates></Point>","-6.283247,53.350557</coordinates></Point>","-6.283247,53.350557",-6.283247,53.350557
23,North Circular Road,1,20 P n D / DP,At Summerhill Parade  n  Russell St,,€ 2.40,Nth Circular Rd 160,Mon-Fri 08.00-18.30,FALSE,,,,FALSE,,Red,Y,"<Point><coordinates>-6.250116,53.357475</coordinates></Point>","-6.250116,53.357475</coordinates></Point>","-6.250116,53.357475",-6.250116,53.357475
25,Prussia Street,7,10 P n D / DP,Opposite Joseph's Road,,€ 1.60,St. Joseph's Rd 469,Mon-Sun 07.00-24.00,FALSE,,,,TRUE,,Green,Y,"<Point><coordinates>-6.287127,53.354882</coordinates></Point>","-6.287127,53.354882</coordinates></Point>","-6.287127,53.354882",-6.287127,53.354882
26,Kenilworth Square West,6,71 P n D / DP,At Park,,€ 1.60,4 At Kenilworth Square,Mon-Fri 08.00-18.30,FALSE,,,,FALSE,,Green,Y,"<Point><coordinates>-6.277189,53.318538</coordinates></Point>","-6.277189,53.318538</coordinates></Point>","-6.277189,53.318538",-6.277189,53.318538
28,Tyrconnell Street,8,30 P n D / DP,Junction of Tyrconnel Road,,€ 1.00,Tyrconnel Rd 732,Mon-Sat 07.00-24.00,FALSE,,,,TRUE,,Orange,Y,"<Point><coordinates>-6.323421,53.337743</coordinates></Point>","-6.323421,53.337743</coordinates></Point>","-6.323421,53.337743",-6.323421,53.337743
31,Raymond Street,8,68 P n D / DP,At No 25,,€ 2.40,Clanbrassil Tce 773,Mon-Sat 07.00-24.00,FALSE,,,,FALSE,,Red,Y,"<Point><coordinates>-6.276736,53.334021</coordinates></Point>","-6.276736,53.334021</coordinates></Point>","-6.276736,53.334021",-6.276736,53.334021
32,St. Alban's Road,8,44 P n D / DP,At South Circular Road,,€ 1.60,Greenville Tce 34,Mon-Fri 08.00-18.30,FALSE,,,,FALSE,,Green,Y,"<Point><coordinates>-6.277943,53.331881</coordinates></Point>","-6.277943,53.331881</coordinates></Point>","-6.277943,53.331881",-6.277943,53.331881
36,Kenilworth Square South,6,80 P n D / DP,At Park,,€ 1.60,4 At Kenilworth Square,Mon-Fri 08.00-18.30,FALSE,,,,FALSE,,Green,Y,"<Point><coordinates>-6.275799,53.3172</coordinates></Point>","-6.275799,53.3172</coordinates></Point>","-6.275799,53.3172",-6.275799,53.3172
47,Greenmount Lane,12,11 P n D / DP,At Number 18,,€ 1.60,None Nearby,Mon-Sat 07.00-24.00,FALSE,,,,FALSE,,Green,Y,"<Point><coordinates>-6.278455,53.328634</coordinates></Point>","-6.278455,53.328634</coordinates></Point>","-6.278455,53.328634",-6.278455,53.328634
48,The Coombe,8,16 P n D / DP,Near Reginald Street / At No 62,,€ 1.60,Gray St 649,Mon-Sat 07.00-24.00,FALSE,,,,FALSE,,Red,Y,"<Point><coordinates>-6.279323,53.339683</coordinates></Point>","-6.279323,53.339683</coordinates></Point>","-6.279323,53.339683",-6.279323,53.339683
49,St. Philomena's Road,11,17 P n D / DP,Off Finglas Road,09/05/2002,€ 1.00,Prospect Avenue 661 (€1.50),Mon-Sat 07.00-24.00,FALSE,,,,FALSE,,Orange,Y,"<Point><coordinates>-6.273128,53.367647</coordinates></Point>","-6.273128,53.367647</coordinates></Point>","-6.273128,53.367647",-6.273128,53.367647
