No,Location,Code,No Spaces,Exact Location,Installed,Tarriff,Nearest PandDs Same zone,Hours of Operation,Clr-Way,Clearway Hrs,Comments 1,Further Information,Finished,Comment 2,X_Value,Y_Value,Zone,Located,geometry,geometry 1,geometry 2,Longitude,Latitude
3,Hatch Street Upper,2,58 P n D (Total),Near College of Music,,€ 2.90,6 On Hatch St Upr,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,315846.8131,232906.5977,Yellow,Y,"<Point><coordinates>-6.261752,53.333963</coordinates></Point>","-6.261752,53.333963</coordinates></Point>","-6.261752,53.333963",-6.261752,53.333963
5,Hatch Street Upper,2,58 P n D (Total),Iveagh Gardens,,€ 2.90,6 On Hatch St Upr,Mon-Sat 07.00-19.00,FALSE,,,Northside West of Earlsfort Tce,TRUE,,315931.1032,232914.8727,Yellow,Y,"<Point><coordinates>-6.260484,53.334019</coordinates></Point>","-6.260484,53.334019</coordinates></Point>","-6.260484,53.334019",-6.260484,53.334019
6,Hatch Street Upper,2,58 P n D (Total),UCD,,€ 2.90,6 On Hatch St Upr,Mon-Sat 07.00-19.00,FALSE,,,Northside West of Earlsfort Tce,TRUE,,315984.1656,232910.5168,Yellow,Y,"<Point><coordinates>-6.259689,53.333968</coordinates></Point>","-6.259689,53.333968</coordinates></Point>","-6.259689,53.333968",-6.259689,53.333968
7,Lindsay Road,9,35 P n D / DP,Off Botanic Road,,€ 1.60,Iona Road 158,Mon-Sat 07.00-24.00,FALSE,,,,FALSE,,315126.4669,236440.1915,Green,Y,"<Point><coordinates>-6.271275,53.365855</coordinates></Point>","-6.271275,53.365855</coordinates></Point>","-6.271275,53.365855",-6.271275,53.365855
15,Ailesbury Road,4,169 P n D / DP (Total),At St. Anne's,,€ 1.60,Ailesbury Grove 795,Mon-Fri 07.00-19.00,FALSE,,,,TRUE,,317995.2526,231349.5122,Green,Y,"<Point><coordinates>-6.230097,53.319505</coordinates></Point>","-6.230097,53.319505</coordinates></Point>","-6.230097,53.319505",-6.230097,53.319505
20,St. Mary's Terrace (Arbour Hill),7,4 P n D + 4 DP,At Arbour Place,,€ 1.60,None Nearby,Mon-Sat 07.00-24.00,FALSE,,,,FALSE,,314370.5732,234718.6548,Green,Y,"<Point><coordinates>-6.283247,53.350557</coordinates></Point>","-6.283247,53.350557</coordinates></Point>","-6.283247,53.350557",-6.283247,53.350557
23,North Circular Road,1,20 P n D / DP,At Summerhill Parade  n  Russell St,,€ 2.40,Nth Circular Rd 160,Mon-Fri 08.00-18.30,FALSE,,,,FALSE,,316557.7629,235542.0091,Red,Y,"<Point><coordinates>-6.250116,53.357475</coordinates></Point>","-6.250116,53.357475</coordinates></Point>","-6.250116,53.357475",-6.250116,53.357475
25,Prussia Street,7,10 P n D / DP,Opposite Joseph's Road,,€ 1.60,St. Joseph's Rd 469,Mon-Sun 07.00-24.00,FALSE,,,,TRUE,,314100.6669,235193.6974,Green,Y,"<Point><coordinates>-6.287127,53.354882</coordinates></Point>","-6.287127,53.354882</coordinates></Point>","-6.287127,53.354882",-6.287127,53.354882
26,Kenilworth Square West,6,71 P n D / DP,At Park,,€ 1.60,4 At Kenilworth Square,Mon-Fri 08.00-18.30,FALSE,,,,FALSE,,314859.9383,231165.2101,Green,Y,"<Point><coordinates>-6.277189,53.318538</coordinates></Point>","-6.277189,53.318538</coordinates></Point>","-6.277189,53.318538",-6.277189,53.318538
28,Tyrconnell Street,8,30 P n D / DP,Junction of Tyrconnel Road,,€ 1.00,Tyrconnel Rd 732,Mon-Sat 07.00-24.00,FALSE,,,,TRUE,,311729,233229,Orange,Y,"<Point><coordinates>-6.323421,53.337743</coordinates></Point>","-6.323421,53.337743</coordinates></Point>","-6.323421,53.337743",-6.323421,53.337743
