REG_NO,RATING,NUMBER,NAME,STREET1,STREET2,TOWN,COUNTY,TOWNLAND,BUILDINGTYPE,DATEFROM,DATETO,COMPOSITION,APPRAISAL,LINK_WEBRECORD,LINK_WEBIMAGE,LONG,LAT
11354008,National,,Dunsink Observatory,Dunsink Lane,,,Dublin,DUNSINK,observatory/telescope,1780,1785,"Detached seven-bay two-storey house, built 1783, with three central projecting bays having domed observatory above.  Return to rear.  Projecting porch added to south elevation, c.1840.  Extension to north elevation, c.1970, linking house and outbuildings.",,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=FI&regno=11354008,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/11354008_1.jpg,-6.32916690822024,53.3910016983757
11354009,National,,Dunsink Observatory,Dunsink Lane,,,Dublin,DUNSINK,observatory/telescope,1865,1870,"Snecked limestone rotunda housing telescope, built 1868, with copper-roofed dome and projecting entrance porch.  Retaining original fenestration. The shaft of the telescope has a foundation independent of the walls to prevent transmission of external vibr",,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=FI&regno=11354009,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/11354009_1.jpg,-6.33877926506788,53.3873844884072
11358001,Regional,,Saint Dominic's Convent,Greenfield Road,,Sutton,Dublin,BURROW (CO. BY.) HOWTH ED,convent/nunnery,1840,1860,"Detached five-bay two-storey over basement former house, c.1850, with projecting entrance porch.  Single-bay link to multiple-bay two-storey extension to left-hand side c.1890.  Multiple-bay three-storey extension to rear.  Prefabricated school rooms on s",,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=FI&regno=11358001,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/11358001_1.jpg,-6.32916690822024,53.3910016983757
11358003,Regional,,Reverend James Caffney Memorial,Church Road,,Sutton,Dublin,BURROW (CO. BY.) HOWTH ED,monument,1870,1880,"Limestone carved tablet, c.1876, with inscription, set in rubble stone wall.  Inscription reads 'The Rev. James Caffney C.C. Coolock was accidentally killed at this place on the 4th day of January 1876.  Precious in the sight of the Lord is the death of t",,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=FI&regno=11358003,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/11358003_1.jpg,-6.10478436351114,53.3873618354309
11358004,Regional,,The Burrow School,Howth Road,,,Dublin,BURROW (CO. BY.) HOWTH ED,school,1840,1860,"Detached two-bay single-storey snecked granite school, c.1850, with projecting bays to entrance elevation.  Extension to north elevation, c.1995.ROOF: M-profile slate roof with hipped bay to side; terracotta ridge tiles; corniced red brick chimneys. WAL",,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=FI&regno=11358004,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/11358004_1.jpg,-6.10041246798032,53.3910216485338
11358005,Regional,,Sutton Methodist Church,Howth Road,,Sutton,Dublin,BURROW (CO. BY.) HOWTH ED,church/chapel,1900,1905,"Corner-sited detached Methodist church, built 1903, with limestone ashlar corner spire and gabled porch to east.  Lecture hall, c.1925, to west, linked to church by three-bay corridor.  Three-bay two-storey gable-fronted manse attached to south gable of c",,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=FI&regno=11358005,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/11358005_1.jpg,-6.10473947207843,53.3897245285923
11358006,Regional,"4, 5, 6",,Strand Road,,Sutton,Dublin,BURROW (CO. BY.) HOWTH ED,house,1850,1900,"Group of three terraced two-bay two-storey houses, c.1875, with single-bay full-height canted bay windows and square-headed pedimented doors.ROOF: Double-pitched slate; red brick profiled chimney stacks; terracotta clay pots; Decorative terracotta ridge",,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=FI&regno=11358006,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/11358006_1.jpg,-6.11115332180639,53.3901766926804
11358007,Regional,10,,Stand Road,,Sutton,Dublin,BURROW (CO. BY.) HOWTH ED,house,1875,1895,"Detached double-pile three-bay two-storey red brick house, c.1885, with central advanced entrance bay having open internal porch.ROOF: Double-piled hipped; slated; concrete ridge tiles; profiled red brick chimney stacks; overhanging eaves; upvc rainwate",,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=FI&regno=11358007,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/11358007_1.jpg,-6.11238464705189,53.3905466442685
11358008,Regional,11,Glenburn,Strand Road,,Sutton,Dublin,BURROW (CO. BY.) HOWTH ED,house,1825,1875,"Pair of semi-detached three-bay two-storey houses, c.1850, with full-height gabled terminating bays.  Gable-fronted projecting entrance porches and bay windows to ground floor.ROOF :L-shaped slate roof; gabled to party wall with No. 12, while hipped to ",,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=FI&regno=11358008,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/11358008_1.jpg,-6.10023460927937,53.3872535406616
11358009,Regional,15,,Strand Road,,Sutton,Dublin,BURROW (CO. BY.) HOWTH ED,house,1850,1900,"Semi-detached single-bay two-storey over basement gable-fronted house, c.1875, with single-storey over basement bay window, and single-storey over basement recessed entrance porch to right.  (Pair with 11358010). ROOF: M-profile slate roof; gabled to le",,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=FI&regno=11358009,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/11358009_1.jpg,-6.113613213793,53.3909794428388
11358010,Regional,16,Bellevue House,Strand Road,,Sutton,Dublin,BURROW (CO. BY.) HOWTH ED,house,1850,1900,"Semi-detached three-bay two-storey over basement house, c.1875, with gabled end bay having single-storey over basement bay windows.  (Pair with 11358009) ROOF: Asbestos tiled double-pitched roof; hipped to left; concrete ridge tiles; red brick profiled ",,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=FI&regno=11358010,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/11358010_1.jpg,-6.32916690822024,53.3910016983757
11358011,Regional,17,Saint Michael's,Strand Road,,Sutton,Dublin,BURROW (CO. BY.) HOWTH ED,house,1840,1850,"Semi-detached four-bay two- and three-storey Tudor Gothic style house, c.1845, with single-storey projecting entrance porch and two-storey gabled bay.  Conservatory c. 1970.  Two-storey outbuilding to north.  (Pair with 11358012)ROOF: Double-pitched hip",,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=FI&regno=11358011,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/11358011_1.jpg,-6.1139902886987,53.3912909378091
11358012,Regional,18,Lawrence Lodge,Strand Road,,Sutton,Dublin,BURROW (CO. BY.) HOWTH ED,house,1840,1850,"Semi-detached four-bay two-and three-storey Tudor Gothic style house, c.1845, with single-storey projecting entrance porch and two-storey gabled bay.  Perpendicular single-storey extension c.1985 to terminating end bay.  (Pair with 11358011)ROOF:Double-",,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=FI&regno=11358012,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/11358012_1.jpg,-6.11420966699212,53.3914291991633
11358013,Regional,19,Saffron House,Strand Road,,Sutton,Dublin,BURROW (CO. BY.) HOWTH ED,house,1860,1900,"Detached three-bay two-storey house, c.1880, with central single-storey projecting porch and three-bay two-storey return to rear.  Flanked by single-storey additions, c.1980.ROOF: Hipped purple slated; concrete ridge tiles;  red brick chimney stacks; ye",,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=FI&regno=11358013,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/11358013_1.jpg,-6.11498845635515,53.3914954223023
11358014,Regional,,Sutton Railway Station,,,Sutton,Dublin,BURROW (CO. BY.) HOWTH ED,house,1860,1880,"Detached three-bay two-storey red brick former station master's house, c.1870, with gabled dormer over central bay.  Walled yard with outbuilding, c.1900, to east gable.ROOF: Double pitched slate roof with decorative timber eaves and bargeboards.  Cast ",,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=FI&regno=11358014,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/11358014_1.jpg,-6.11561543360297,53.3915951877738
11358015,Regional,,Sutton Railway Station,Sutton Road,,Sutton,Dublin,BURROW (CO. BY.) HOWTH ED,railway station,1840,1850,"Detached nine-bay single-storey railway station, c.1846, with three-bay central breakfront flanked by recessed bays.  Three-bay wing to left-hand side, now in use as retail outlet.  Timber canopy to platform elevation.  Built as extension to D.D.R (Dublin",,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=FI&regno=11358015,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/11358015_1.jpg,-6.11602138438574,53.3919340914029
11358016,Regional,,,,,Sutton,Dublin,BURROW (CO. BY.) HOWTH ED,post box,1900,1910,"Wall-mounted cast-iron post box, c.1905, with 'GR' monogram, set in rubble stone wall.",,http://www.buildingsofireland.ie/niah/search.jsp?type=record&county=FI&regno=11358016,http://www.buildingsofireland.ie/niah/images/survey_specific/fullsize/11358016_1.jpg,-6.1169081204916,53.3919391013772
