RPS_Number,StructureName,Description,StreetNumber,StreetAddress,Townland,NIAH_Ref,RMP_REF,Lat,Long
176,Thatched Dwelling,Four-bay single-storey thatched dwelling with extension,,"New Lane, Balbriggan",Darcystown,11310002,,53.5768453836466,-6.18108350949736
112,Mounds,Group of three burial mounds,,Lecklinstown Lane,Kitchenstown,,DU004-01201 to 01203,53.5733816877829,-6.25550705960346
40,,4-storey over basement structure with decorative window mouldings,11,Bridge Street,Balbriggan,11305040,,53.6093872935164,-6.18306981947357
43,Allied Irish Bank,Bank building,1,Georges Sqaure,Balbriggan,,,53.6086728457196,-6.18322644248481
42,Court House,Two-storey stone courthouse on corner site,,Georges Square,Balbriggan,11305038,,53.6083364808388,-6.18291706456789
58,,Early 19th century house (excluding modern lean-to shop extension),2,Dublin Street,Balbriggan,11305016,,53.6081985783056,-6.18299495134247
59,Balbriggan Clubs Community Centre,Façade only of Art Deco former cinema,23,Dublin Street,Balbriggan,,,53.6074514657378,-6.18381859643444
60,,Façade only of Art Deco former garage,39,Dublin Street,Balbriggan,,,53.6067592204693,-6.184028212682
61,,Corner building at junction with Market Green & Dublin St,40,Dublin Street,Balbriggan,11305034,,53.606590925849,-6.18351374504105
64,Former Corn Mill,"Four storey former mill, now an apartment block",,Vauxhall Street,Balbriggan,11305037,DU005-050,53.6053642569399,-6.18516743120426
44,,"19th century former residence, now offices",7,Georges Sqaure,Balbriggan,,,53.6082959375969,-6.18236111070779
45,,"19th century former residence, now offices",8,Georges Sqaure,Balbriggan,,,53.6083041705933,-6.18219884663603
46,Carnegie Library,Redbrick library on corner site with turretted clock tower,,Georges Square,Balbriggan,11305039,,53.6084738750156,-6.18210159868788
47,,19th century terraced house,11,High Street,Balbriggan,11305041,,53.6086932136185,-6.18175035800167
48,Kincora,Victorian Gothic Revival style house,39,High Street,Balbriggan,,,53.6096587958242,-6.18122309787677
52,St. George's Church & Hall,Gothic Revival Church of Ireland church. Detached  hall within grounds,,Georges Street/Church Street,Balbriggan,11305023 & 11305022,,53.6097191701072,-6.17956534791671
36,Viaduct,Eleven-arch railway viaduct over harbour,,Balbriggan Harbour,Balbriggan,11305021,,53.6106751021227,-6.1805137194631
35,Former RNLI Boathouse,Former Lifeboat House,,Balbriggan Harbour,Balbriggan,11305020,,53.6108689244443,-6.18059533531544
53,Croom House,19th century house,,Seapoint Lane,Balbriggan,11305026,,53.6097545656859,-6.17837643002909
51,Georgeville,19th century semi-detached house,5,Georges Street/Church Street,Balbriggan,11305028,,53.6086420253672,-6.17979161062786
50,Roscarrig,19th century semi-detached house,3,Georges Street/Church Street,Balbriggan,,,53.6085274237717,-6.17999443749951
49,Bedford House,Former Vicarage/Rectory now Nursing Home,,Georges Street/Church Street,Balbriggan,11305029,,53.6082115902051,-6.18033184951407
57,St. George's National School & Schoolhouse,"Mid-19th century School,  School Masters house to rear & stone boundary wall",,Hampton Street,Balbriggan,11305031,,53.6076202756033,-6.17943980219575
65,Market House,Early 19th century former market house,,Market Green,Balbriggan,11305033,,53.6063166049486,-6.18165463160524
67,,One of two pairs of semi-detached mid-19th century houses,2,"The Bower, Fancourt",Balbriggan,,,53.607955414724,-6.16915304950671
69,,One of two pairs of semi-detached mid-19th century houses,4,"The Bower, Fancourt",Balbriggan,,,53.607781275945,-6.16826108354292
182,,Four-bay single-storey thatched dwelling,42,Quay Street,Townparks (Skerries),11311023,,53.5812274771405,-6.11039799784575
194,,Six-bay single-storey thatched dwelling,19,Thomas Hand Street,Townparks (Skerries),11311006,,53.5803832984349,-6.10963847214901
210,,Five-bay single-storey thatched dwelling,78,Church Street,Skerries,11311013,,53.5795887144292,-6.10955632893086
