id,dublin_no,location,code,spaces,exact_location,installed,tariff,nearest_pad,op_hours,clearway,clearway_hours,comment,further_info,finished,extra_comment,zone,longitude,latitude,created_at,updated_at
,3,Hatch Street Upper,2,58 P n D (Total),Near College of Music,,2.90,6 On Hatch St Upr,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,Yellow,-6.261752,53.333963,01/08/2011 16:16:08,null
,5,Hatch Street Upper,2,58 P n D (Total),Iveagh Gardens,,2.90,6 On Hatch St Upr,Mon-Sat 07.00-19.00,FALSE,,,Northside West of Earlsfort Tce,TRUE,,Yellow,-6.260484,53.334019,01/08/2011 16:16:08,null
,6,Hatch Street Upper,2,58 P n D (Total),UCD,,2.90,6 On Hatch St Upr,Mon-Sat 07.00-19.00,FALSE,,,Northside West of Earlsfort Tce,TRUE,,Yellow,-6.259689,53.333968,01/08/2011 16:16:08,null
,7,Lindsay Road,9,35 P n D / DP,Off Botanic Road,,1.60,Iona Road 158,Mon-Sat 07.00-24.00,FALSE,,,,FALSE,,Green,-6.271275,53.365855,01/08/2011 16:16:08,null
,15,Ailesbury Road,4,169 P n D / DP (Total),At St. Anne's,,1.60,Ailesbury Grove 795,Mon-Fri 07.00-19.00,FALSE,,,,TRUE,,Green,-6.230097,53.319505,01/08/2011 16:16:08,null
,20,St. Mary's Terrace (Arbour Hill),7,4 P n D + 4 DP,At Arbour Place,,1.60,None Nearby,Mon-Sat 07.00-24.00,FALSE,,,,FALSE,,Green,-6.283247,53.350557,01/08/2011 16:16:08,null
,23,North Circular Road,1,20 P n D / DP,At Summerhill Parade  n  Russell St,,2.40,Nth Circular Rd 160,Mon-Fri 08.00-18.30,FALSE,,,,FALSE,,Red,-6.250116,53.357475,01/08/2011 16:16:08,null
,25,Prussia Street,7,10 P n D / DP,Opposite Joseph's Road,,1.60,St. Joseph's Rd 469,Mon-Sun 07.00-24.00,FALSE,,,,TRUE,,Green,-6.287127,53.354882,01/08/2011 16:16:08,null
,26,Kenilworth Square West,6,71 P n D / DP,At Park,,1.60,4 At Kenilworth Square,Mon-Fri 08.00-18.30,FALSE,,,,FALSE,,Green,-6.277189,53.318538,01/08/2011 16:16:08,null
,28,Tyrconnell Street,8,30 P n D / DP,Junction of Tyrconnel Road,,1.00,Tyrconnel Rd 732,Mon-Sat 07.00-24.00,FALSE,,,,TRUE,,Orange,-6.323421,53.337743,01/08/2011 16:16:08,null
,31,Raymond Street,8,68 P n D / DP,At No 25,,2.40,Clanbrassil Tce 773,Mon-Sat 07.00-24.00,FALSE,,,,FALSE,,Red,-6.276736,53.334021,01/08/2011 16:16:08,null
,32,St. Alban's Road,8,44 P n D / DP,At South Circular Road,,1.60,Greenville Tce 34,Mon-Fri 08.00-18.30,FALSE,,,,FALSE,,Green,-6.277943,53.331881,01/08/2011 16:16:08,null
,36,Kenilworth Square South,6,80 P n D / DP,At Park,,1.60,4 At Kenilworth Square,Mon-Fri 08.00-18.30,FALSE,,,,FALSE,,Green,-6.275799,53.3172,01/08/2011 16:16:08,null
,47,Greenmount Lane,12,11 P n D / DP,At Number 18,,1.60,None Nearby,Mon-Sat 07.00-24.00,FALSE,,,,FALSE,,Green,-6.278455,53.328634,01/08/2011 16:16:08,null
,48,The Coombe,8,16 P n D / DP,Near Reginald Street / At No 62,,1.60,Gray St 649,Mon-Sat 07.00-24.00,FALSE,,,,FALSE,,Red,-6.279323,53.339683,01/08/2011 16:16:08,null
,49,St. Philomena's Road,11,17 P n D / DP,Off Finglas Road,09/05/2002,1.00,Prospect Avenue 661 (€1.50),Mon-Sat 07.00-24.00,FALSE,,,,FALSE,,Orange,-6.273128,53.367647,01/08/2011 16:16:08,null
,51,Kenilworth Square East,6,84 P n D / DP,At Park,09/05/2002,1.60,4 At Kenilworth Square,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,Green,-6.274578,53.318284,01/08/2011 16:16:08,null
,54,St. Joseph's Parade,7,16 P n D / DP,Off Dorset Street Lower,09/05/2002,2.40,Eccles St 409,Mon-Sat 07.00-24.00,FALSE,,,,FALSE,,Red,-6.26616,53.357323,01/08/2011 16:16:08,null
,55,St. Brigid's Road (Artane),5,,Outside No. 48 St Brigid's Road,,0.60,,Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Blue,-6.205195,53.381897,01/08/2011 16:16:08,null
,56,St. Brigid's Road Lower,9,40 P n D / DP,At Whitworth Rd Junction,23/04/2002,1.60,St. Patrick's Road 632,Mon-Sun 07.00-24.00,FALSE,,,,FALSE,,Green,-6.262521,53.362598,01/08/2011 16:16:08,null
,57,Collin's Avenue East,5,22 P n D,Opposite Number 66,22/04/2002,1.00,Kilbride Rd 145,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,Orange,-6.210015,53.373046,01/08/2011 16:16:08,null
,64,Fairview Avenue Upper,3,27 P n D,At Green,,1.00,Fairview Ave Lwr 466,Mon-Fri 08.00-18.30,FALSE,,,,FALSE,,Orange,-6.235049,53.365338,01/08/2011 16:16:08,null
,66,Bellevue (Coach Parking),8,,Guinness Brewery,,1.60,Grand Canal Place 8,COACHES ONLY 24 HRS,FALSE,,,,FALSE,,Green,-6.286043,53.341605,01/08/2011 16:16:08,null
,70,Larch Grove,6,8 P n D / DP,Off Sandford Road,17/04/2002,2.40,None Nearby,Mon-Sat 07.00-24.00,FALSE,,,,FALSE,,Red,-6.246402,53.321642,01/08/2011 16:16:08,null
