id,dublin_no,location,code,spaces,exact_location,installed,tariff,nearest_pad,op_hours,clearway,clearway_hours,comment,further_info,finished,extra_comment,zone,longitude,latitude,created_at,updated_at
1,3,Hatch Street Upper,2,58 P&D (Total),Near College of Music,,2.90,6 On Hatch St Upr,Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,Yellow,-6.261752,53.333963,02/01/2012 22:45:00,NULL
2,5,Hatch Street Upper,2,58 P&D (Total),Iveagh Gardens,,2.90,6 On Hatch St Upr,Mon-Sat 07.00-19.00,FALSE,,,Northside West of Earlsfort Tce,TRUE,,Yellow,-6.260484,53.334019,02/01/2012 22:45:00,NULL
3,6,Hatch Street Upper,2,58 P&D (Total),UCD,,2.90,6 On Hatch St Upr,Mon-Sat 07.00-19.00,FALSE,,,Northside West of Earlsfort Tce,TRUE,,Yellow,-6.259689,53.333968,02/01/2012 22:45:00,NULL
4,7,Lindsay Road,9,35 P&D / DP,Off Botanic Road,,1.60,Iona Road 158,Mon-Sat 07.00-24.00,FALSE,,,,FALSE,,Green,-6.271275,53.365855,02/01/2012 22:45:00,NULL
5,8,Grand Canal Place,8,27 P&D,Near Crane Street,,1.60,"Echlin St 615, Bellevue 66",Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,Green,-6.28747,53.341726,02/01/2012 22:45:00,NULL
6,9,Collier's Avenue,6,24 P&D / DP,At Sandford Road,13/05/2002,1.00,"Woodstock Gardens 296 (€2.00), Anna Villa 546",Mon-Sat 07.00-24.00,FALSE,,,,FALSE,,Orange,-6.249756,53.323081,02/01/2012 22:45:00,NULL
7,15,Ailesbury Road,4,169 P&D / DP (Total),At St. Anne's,,1.60,Ailesbury Grove 795,Mon-Fri 07.00-19.00,FALSE,,,,TRUE,,Green,-6.230097,53.319505,02/01/2012 22:45:00,NULL
8,18,Ailesbury Road,4,169 P&D / DP (Total),At Number 14,,1.60,"Ailesbury Rd 786, Merlyn Park 828, Merrion View Ave 130",Mon-Fri 07.00-19.00,FALSE,,,,TRUE,,Green,-6.216475,53.320446,02/01/2012 22:45:00,NULL
9,19,Nottingham Street,3,55 P&D / DP,Off North Strand Road,13/04/2002,1.60,"Nth Strand Rd 367, 510, Northbrook Ave Lwr 523, Annesley Place 814",Mon-Sat 07.00-19.00,FALSE,,,,FALSE,,Green,-6.241276,53.358891,02/01/2012 22:45:00,NULL
10,20,St. Mary's Terrace (Arbour Hill),7,4 P&D + 4 DP,At Arbour Place,,1.60,None Nearby,Mon-Sat 07.00-24.00,FALSE,,,,FALSE,,Green,-6.283247,53.350557,02/01/2012 22:45:00,NULL
11,23,North Circular Road,1,20 P&D / DP,At Summerhill Parade & Russell St,,2.40,Nth Circular Rd 160,Mon-Fri 08.00-18.30,FALSE,,,,FALSE,,Red,-6.250116,53.357475,02/01/2012 22:45:00,NULL
12,24,Charles' Street Great,1,76 P&D / DP,North Side West of Emmet Street,,2.40,"Emmet Street 873, 4 On Mountjoy Square",Mon-Sun 07.00-24.00,FALSE,,,N.Side West of Emmet St,TRUE,,Red,-6.254207,53.357192,02/01/2012 22:45:00,NULL
13,25,Prussia Street,7,10 P&D / DP,Opposite Joseph's Road,,1.60,St. Joseph's Rd 469,Mon-Sun 07.00-24.00,FALSE,,,,TRUE,,Green,-6.287127,53.354882,02/01/2012 22:45:00,NULL
14,26,Kenilworth Square West,6,71 P&D / DP,At Park,,1.60,4 At Kenilworth Square,Mon-Fri 08.00-18.30,FALSE,,,,FALSE,,Green,-6.277189,53.318538,02/01/2012 22:45:00,NULL
15,27,Cadogan Road,3,78 P&D / DP,Off Annesley Bridge Road,,1.00,"Annesley Bridge Rd 359, 513",Mon-Sat 07.00-19.00,FALSE,,,,TRUE,,Orange,-6.238507,53.361435,02/01/2012 22:45:00,NULL
