RPS_Number,StructureName,Description,StreetNumber,StreetAddress,Townland,NIAH_Ref,RMP_REF,Lat,Long
5,St. Brigid's Well,Holy Well,,Tobersool Lane,Tobersool,,DU001-001,53.6272869858849,-6.23832144264639
100,Ring-Ditch,Earthwork,,Doolagh Road,Doolagh,,DU001-002,53.6091179972111,-6.26208413097521
7,Balscadden Church (in ruins) & St. Mary's Well,"Church ruins, Graveyard & Holy Well",,Flemingtown to Toberstown Rd,Tobertown (Balscadden),11304010,DU001-003 to -00304,53.617356600281,-6.23692982564276
11,Lady Well,Holy Well,,Flemingtown Lane,Flemingtown,,DU001-004,53.615526380965,-6.21364222152724
4,Gormanstown Bridge,Stone bridge over River Delvin,,Gormanstown Road,Tobersool,,DU001-010,53.6287715542,-6.23088411542306
2,Knocknagin House,House & Outoffices,,Drogheda Road (N1),Knocknagin,11302001,DU001-012,53.6305336016055,-6.21568769957695
3,Passage Grave Cemetery,Group of five mounds (incl group of cairns),,off Drogheda Road,Bremore,,DU002-001,53.6302009998934,-6.19086853037131
14,Bremore Castle,Remains of 16th century medieval stone castle,,off Drogheda Road,Bremore,,DU002-00201,53.6172585427976,-6.19072827267038
13,St. Molaga's Church (in ruins) & Graveyard,Remains of nave & chancel of church with some decorative stonework,,off Drogheda Street,Bremore,,"DU002-00202, DU002-00203",53.6166149411933,-6.19083150944949
17,Martello Tower,Former Martello Tower,,"King Strand, off Bath Road",Tankardstown (Balbriggan),11305009,DU002-004,53.6157715243007,-6.18320724241868
16,Tankard Ville,Thatched house,,Brecan Close,Tankardstown (Balbriggan),,DU002-011,53.6125110292638,-6.19139338592028
120,Ringfort,Earthwork,,off Hedges Road,Commons Upper,,DU003-001,53.5851920498647,-6.3861334349439
127,Garristown Barrow,Barrows are earthern burial mounds,,Newtown Lane,Newtown (Garristown),,DU003-003,53.5561369280488,-6.41910619760656
125,Windmill (in ruins),"Remains of base of circular stone windmill, dated 1736 & hillfort site",,Windmill Road/Ashbourne Road,Garristown,11313005,DU003-00402,53.5635647545311,-6.39337094540533
126,Mound,"Semi-circular mound, 1.5m high, cut by field boundary",,Adamstown Road,Garristown,,DU003-005,53.5626637332531,-6.38034954792651
121,"Church (in ruins), Graveyard & Whetstone",Remains of 19th century church & older graveyard,,Chapel Road/Watery Lane,Garristown,11313010,DU003-011,53.5683209967038,-6.38411384386435
98,Ringfort,Platform type ringfort enclosed by slight fosse,,Toberstown Road,Grange (Balscadden),,DU004-001,53.6073932470628,-6.24463459745857
96,Enclosure Site,Earthwork,,Groghan Lane,Balscadden,,DU004-003,53.6023740963556,-6.22931192424169
10,Potential Site,Earthwork,,,Balscadden,,DU004-003,53.6036308540597,-6.22160239676067
116,Enclosure site,Earthwork,,Fourknocks Road,Westown,,DU004-004,53.5832586080891,-6.31013319512162
115,Mound,Bell Barrow (burial mound) on hilltop,,Naul Road,Westown,,DU004-005,53.5802469133953,-6.3073809635641
114,Ringfort possible site,Earthwork,,Naul Road,Loughmain/Cabinhill,,DU004-011,53.5742215515111,-6.28689488225797
112,Mounds,Group of three burial mounds,,Lecklinstown Lane,Kitchenstown,,DU004-01201 to 01203,53.5733816877829,-6.25550705960346
113,Mounds,Group of mounds,,Leckinstown Road,Knockbrack,,DU004-01204 to 01207,53.5717499214653,-6.25639410954324
163,Ring-ditch site,Earthwork,,,Walshestown,,DU004-015,53.563198270409,-6.24677013582129
164,Ringfort possible site,Earthwork,,Balrickard Road,Balrickard,,DU004-016,53.5704701931297,-6.23412080610754
651,Ringfort possible site,Earthwork,,off Rowans Road,Rowans Big,,DU004-017,53.5676919171177,-6.21507803580455
139,Burial Mound,Earthwork in fields at end of lane,,Knocklyon Lane,Adamstown,,DU004-018,53.5533152766905,-6.34089946642669
140,Ringfort Site,Earthwork,,Grallagh Road,Grallagh,,DU004-019,53.5526497892397,-6.32987007361327
158,Motte possible,Oval mound (4m high),,Mallahow Road,Mallahow,,DU004-020,53.5562770007683,-6.30397697184676
162,Possible Barrow,Low circular flat-topped mound (.75m high),,Hollywood Road,Hollywood Great,,DU004-021,53.5586811787208,-6.25953331188412
160,St. Kenny's Well,Holy Well,,Naul Road,Hollywood Great,,DU004-022,53.5564427977601,-6.27064234935488
161,Church (in ruins),Church in ruins with walled graveyard which is still in use,,Hollywood Road,Hollywood Great,,DU004-02301 +-02302,53.5563367198413,-6.26009193189595
165,Ring-ditch site,Earthwork,,,Walshestown,,DU004-024,53.5592250508997,-6.23845711471199
166,Enclosure Site,Earthwork,,,Walshestown,,DU004-025,53.5589198776629,-6.23760955952207
167,Enclosure site,Earthwork,,,Rowans Little,,DU004-026,53.5617802017989,-6.22487288871591
97,Whitestown House,"19th century House, outbuildings, walled enclosure, entrance gates & 2 gateloges",,Toberstown Road,Whitestown (Balscadden ED),"11304005, (+06), 11303002",DU004-037,53.6009844988519,-6.24466665869819
107,Watermill,Former Naul Mill complex,,Drogheda Road,Naul,11308002,DU004-04501,53.5875676241851,-6.29353821703731
105,Castle,"Remains of stone tower, known as ""The Black Castle""",,Drogheda Road,Naul,,DU004-04502,53.5881125552283,-6.28959796427902
103,Lady Well,Holy Well,,Balbriggan Road,Naul,,DU004-04503,53.5878845460167,-6.28742923130564
104,Church (in ruins) & Cross site,Remains of small chapel dated 1710 & graveyard,,Drogheda Road,Naul,11308004,DU004-04504,53.5870744092388,-6.28883550032913
75,Chapel site,Archaeological site,,Folkstown Lane,Folkstown Little,,DU005-001,53.598174157737,-6.20271152873431
76,Well,Possibly holy well,,Folkstown Lane,Stephenstown,,DU005-002,53.5975433485241,-6.20282947191931
73,Lady Well,Holy Well,,,Stephenstown,,DU005-003,53.5982253075199,-6.19656691507266
74,Castle (in ruins),Foundations of square tower house,,,Stephenstown,,DU005-004,53.5972842211761,-6.19760806978654
77,Ring ditch,Earthwork,,Matt Road,Stephenstown,,DU005-005,53.5930250021277,-6.19846768621618
95,Ringfort possible site,Earthwork,,,Kilsough,,DU005-00601,53.5946145033885,-6.17859652098917
82,Mound,Earthwork,,Matt Road,Inch (Balrothery),,DU005-008,53.5880286937331,-6.19032347016534
89,Ring-ditch,Earthwork,,,Gibbonsmoor (Balrothery),,DU005-014,53.5846104534453,-6.19733353486627
93,Ring-ditch,Earthwork,,,Hampton Demesne,,DU005-015,53.5871470983145,-6.172239503439
179,Cairn,Burial Mound,,,Barnagerragh,,DU005-01601 +-01602,53.5851400099005,-6.14336645534751
178,Cairn,Burial mound,,,Barnagerragh,,DU005-01701,53.5833596341411,-6.14198860314762
189,Martello Tower,19th century circular military stone martello tower,,"Harbour Road, Red Island",Townparks (Skerries),11311005,DU005-018,53.5847319362635,-6.10236514647474
773,Monastic Complex,Including Church Remains,,,St. Patrick's Island,,DU005-019,53.5852342552857,-6.07423946498312
175,Ringfort possible site,Earthwork,,Balrothery to Man O'War Road,Darcystown/Hynespark,,DU005-020,53.5781286870135,-6.19147089138547
177,Cist,Cists are burials built with stone slabs,,Grange Road,Baltrasna,,DU005-023,53.5770720548097,-6.1545922491597
240,St. Mobhi's Church (in ruins) & Graveyard,"Remains of base of church & graveyard, in grounds of Milverton Demesne",,Balcunnin Road,Grange (Holmpatrick),11310003,DU005-02401,53.5693479076116,-6.15250197426449
241,St. Mobhi's Well,"Holy Well, in grounds of Milverton Demesne",,Balcunnin Road,Grange (Holmpatrick),,DU005-02402,53.5701037657155,-6.15161656790638
181,Ringfort (Rath/Cashel),Earthwork,,,Ardla,,DU005-026,53.5772411024702,-6.13208476185722
230,The Small Windmill,"Restored windmill, unrendered with thatched conical roof & four sails",,Mill Hill,Townparks (Skerries),11311030,DU005-02701,53.5745966944714,-6.1130347978529
229,The Great Windmill,"Restored circular windmill, rendered with mansard roof & five sails",,Mill Hill,Townparks (Skerries),11311029,DU005-028,53.5750494498577,-6.1100884882182
228,Skerries Mill,"Former watermill building & complex, incl mill race, millpond, sluice and water wheel",,Mill Hill,Townparks (Skerries),11311031,DU005-029,53.5743187056358,-6.11011111137406
227,Kibe Well,Holy well,,Mill Hill,Townparks (Skerries),,DU005-030,53.5750528981719,-6.10717046120947
225,Church (in ruins) & Graveyard,"Ecclesiastical Remains, remains of bell tower & old graveyard",,Millers Lane,Townparks (Skerries),11311033 & 11311041,DU005-031,53.5735653689051,-6.10560394450326
233,Burial(s) Site of,Earthwork,,,Milverton,,DU005-032,53.5658393588361,-6.11686177628535
774,Martello Tower,19th century circular military stone martello tower,,,Shenick's Island,11311040,DU005-033,53.5734895375251,-6.08562024233247
172,Mound site,"Earthwork, possible motte",,,Jordanstown,,DU005-034,53.5543243334189,-6.20604886546952
243,Lady Well,Holy Well - stone structure fed by stream,,Baldongan Road,Balcunnin,,DU005-036,53.5614742810759,-6.14563565448043
245,Baldongan Church and Tower (in ruins),"Stone remains of 15th century church, graveyard and site of castle",,,Baldongan,11318008,"DU005-03701, DU005-03702",53.5531310678257,-6.12874180156745
64,Former Corn Mill,"Four storey former mill, now an apartment block",,Vauxhall Street,Balbriggan,11305037,DU005-050,53.6053642569399,-6.18516743120426
70,Corn Mill,Former Mill (in ruins),,Mill Lane,Stephenstown,,DU005-051,53.6012006345869,-6.18662870758539
71,Mill Dam,Part of historic mill complex,,Mill Lane,Stephenstown,,DU005-051,53.6009878555274,-6.18637095261748
800,White Hart House (incl Carria Geal),"17th century house, sub-divided into two properties - White Hart House & Carria Geal)",,White Hart Lane,Stephenstown (Balbriggan),,DU005-054,53.596351342806,-6.19107838904793
81,Holy Well,At side of house in village of Balrothery,,Old Coach Road,Balrothery,,DU005-05701,53.5911051581645,-6.18700217011225
86,Standing Stone,In middle of housing development in Balrothery village,,Old Coach Road,Rosepark (Balrothery),,DU005-05702,53.5873595457103,-6.18564364670796
84,Former Balrothery Church of Ireland Church,"Church, Inscribed Stone, Graveyard Walls & Gates",,Old Coach Road,Balrothery,2650/2,DU005-05703,53.5865578654001,-6.18980254726307
83,Church Tower,Medieval tower of Balrothery Church,,,Balrothery,11309002,DU005-05703,53.5865654808552,-6.19014853073036
85,Castle Tower House,Tower House (in ruins) adjacent to Balrothery Church,,,Glebe South (Balrothery),11309003,DU005-05706,53.5862239046038,-6.18983136840213
87,Holy Well & Potential Site,In middle of housing development in Balrothery,,Old Coach Road,Rosepark (Balrothery),,DU005-05707,53.5864487054345,-6.18542203233684
131,Ringgfort and site of armorial stone,"Limestone plaque with coat of arms was sited on lands of property called ""The Court""",,Ballymadun Road,Ballymadun,,DU006-00101,53.5299296149497,-6.40238698127634
129,Ballymadun Church (in ruins) & Graveyard,"The church with high square tower is in ruins, in graveyard enclosure",,Ballymadun Road,Glebe (Garristown),11319004,DU006-00201 +-00202,53.5328478498033,-6.39770170347543
132,Enclosure site,Earthwork,,off Cornstown Road,Cornstown,,DU006-00302,53.5292467086031,-6.37189002699312
133,Ringfort possible site,Earthwork,,Fieldstown to Garristown Road,Wyestown,,DU006-004,53.5329177042215,-6.36183455968869
141,Grallagh Church (in ruins) & St. Michael's Well,"Church, Graveyard & Holy Well",,Ashgrove Road,Grallagh,11314007,DU007-001 to 00104,53.5463331154166,-6.33036825646105
142,St. John's Well,Holy Well south of Grallagh Church,,Ashgrove Road,Cottrelstown,,DU007-002,53.5459145609279,-6.33044312978692
170,Mound site,Earthwork,,off Hollywood Road,Parnelstown,,DU007-003,53.548996952794,-6.24798502015825
144,Enclosure site,Earthwork,,Naul Road,Brownscross,,DU007-005,53.5316852291699,-6.32890501251446
146,Former St. Mary's Church of Ireland (in ruins),"Church 'Site of' (also known as Clonmethan Church), outside Oldtown",,Naul Road,Glebe (Clonmethan),11320004,DU007-00601,53.5291709572412,-6.3236490322843
148,Ringfort,"Impressive ringfort (2m high), outer ditch has been filled in",,Brownscross to Ballyboghil Road,Leastown,,DU007-007,53.5347265950704,-6.31235947087158
149,Westpalstown Church (in ruins),"Church, Graveyard & Building",,Newtown Lane,Westpalstown,11321010,DU007-008,53.5280214601812,-6.29968341583069
